id,url,shortcode,date,topic,content_type,views,likes,comments,engagement_rate,hook_type,caption_snippet,language
1,https://www.instagram.com/reel/DafyCgxBdJb/,DafyCgxBdJb,Recent,Calcium alternatives to milk,Reel,58600,3,2,0.0085,Educational - Nutritional comparison,"इन 5 चीज़ों में दूध से ज़्यादा कैल्शियम - Calcium source alternatives",Hindi
2,https://www.instagram.com/reel/DafeiJGhFQf/,DafeiJGhFQf,Recent,Black coffee fitness benefits,Reel,56200,4,3,0.0125,Educational - Beverage tips,"ब्लैक कॉफ़ी पीने के सही तरीका - Black coffee tips",Hindi
3,https://www.instagram.com/reel/DafKBkDxEkA/,DafKBkDxEkA,Recent,Right fruits for weight goals,Reel,185000,10,4,0.0076,Educational - Choice/Decision,"सही चुनो फल - Fruits for weight loss/gain",Hindi
4,https://www.instagram.com/reel/Dae2fQAxjxd/,Dae2fQAxjxd,Recent,Rice Kanji gut health remedy,Reel,49300,6,4,0.0203,Recipe/Remedy,"राइस कांजी - Rice Kanji for Gut Health",Hindi
5,https://www.instagram.com/reel/DadLnRPB-ow/,DadLnRPB-ow,Recent,Best morning breakfast choices,Reel,80800,13,3,0.0198,Morning routine/Lifestyle,"सुबह का बेस्ट नाश्ता - Healthy morning breakfast",Hindi
6,https://www.instagram.com/reel/Dac5ZDlh6Nh/,Dac5ZDlh6Nh,Recent,Energy laddu recipe with milk,Reel,63300,2,2,0.0063,Recipe,"जादुई एनर्जी लड्डू - Energy laddu with milk",Hindi
7,https://www.instagram.com/reel/DacmBKLxJ7d/,DacmBKLxJ7d,Recent,Morning tea on empty stomach warning,Reel,230000,4,4,0.0035,Myth-busting/Warning,"Morning tea on empty stomach - harmful",Hindi/English
8,https://www.instagram.com/reel/DackvzaDdHm/,DackvzaDdHm,Recent,"Morning tea - good or bad for health",Reel,113000,14,0,0.0124,Question hook/Contrast,"अमृत है या जहर - First tea of morning: nectar or acid?",Hindi
9,https://www.instagram.com/reel/DacQJZkR9OT/,DacQJZkR9OT,Recent,Wrong food combinations with milk,Reel,75700,7,4,0.0145,Warning/Educational,"दूध के साथ गलत खाना - Wrong food combinations",Hindi
10,https://www.instagram.com/reel/Daa0RUThtB6/,Daa0RUThtB6,Recent,Saunf ka sharbat summer drink,Reel,42600,6,2,0.0188,Seasonal recipe,"सौंफ का शरबत - Fennel seed syrup for summers",Hindi
11,https://www.instagram.com/reel/DaakqTPhwrH/,DaakqTPhwrH,Recent,Curd/Dahi health benefits,Reel,20100,1,1,0.0099,Educational - Nutritional info,"दही में क्या है खास - Benefits of Curd",Hindi
12,https://www.instagram.com/reel/DaaUDozx--J/,DaaUDozx--J,Recent,What to mix in milk before bed,Reel,72600,8,2,0.0138,Tips - Number-based,"रात को सोने से पहले दूध - Milk before sleeping with 3 things",Hindi
13,https://www.instagram.com/reel/DaaIAiORilI/,DaaIAiORilI,Recent,Coconut oil health benefits,Reel,29500,7,1,0.0271,Educational - Ingredient benefits,"Nariyal oil ke fayde - Coconut oil benefits",Hindi
14,https://www.instagram.com/reel/DaZrWHkRDDh/,DaZrWHkRDDh,Recent,Morning jaggery and peanut combo,Reel,24400,6,1,0.0287,Morning routine,"Subah gud aur moongfali - Jaggery and peanut combination",Hindi
15,https://www.instagram.com/reel/DaYBbMxBO8P/,DaYBbMxBO8P,Recent,Makhana milk recipe for sleep/health,Reel,248000,26,2,0.0113,Recipe/Health benefit,"Makhana wala doodh - Milk with Makhana before bed",Hindi
